industry_full,industry_name,industry_code,industry_group
1. Sheep and Beef cattle,Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
2. Grains production,Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
3. Dairy cattle,Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
4. Other crop production,Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
5. Sugar cane production,Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
6. Raw cotton and ginning,Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
7. Other Agriculture,Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
"8. Fishing, hunting and trapping","Fishing, hunting and trapping",8,"Sector 1 - Agriculture, forestry and fishing (A)"
9. Forestry and logging,Forestry and logging,9,"Sector 1 - Agriculture, forestry and fishing (A)"
10. Agricultural services,Agricultural services,10,"Sector 1 - Agriculture, forestry and fishing (A)"
11. Coal mining,Coal mining,11,Sector 2 - Mining (B)
12. Oil mining,Oil mining,12,Sector 2 - Mining (B)
13. Gas mining,Gas mining,13,Sector 2 - Mining (B)
14. LNG production,LNG production,14,Sector 2 - Mining (B)
15. Iron ore mining,Iron ore mining,15,Sector 2 - Mining (B)
16. Non ferrous metal ore mining,Non ferrous metal ore mining,16,Sector 2 - Mining (B)
17. Non-metallic ore mining,Non-metallic ore mining,17,Sector 2 - Mining (B)
18. Exploration and mining support services,Exploration and mining support services,18,Sector 2 - Mining (B)
19. Meat products,Meat products,19,Sector 3 - Manufacturing ( C)
20. Dairy products,Dairy products,20,Sector 3 - Manufacturing ( C)
21. Refined sugar processing,Refined sugar processing,21,Sector 3 - Manufacturing ( C)
22. Other food products,Other food products,22,Sector 3 - Manufacturing ( C)
23. Beverages and tobacco,Beverages and tobacco,23,Sector 3 - Manufacturing ( C)
"24. Textiles, clothing and footwear","Textiles, clothing and footwear",24,Sector 3 - Manufacturing ( C)
25. Wood products,Wood products,25,Sector 3 - Manufacturing ( C)
"26. Pulp and paper products, printing","Pulp and paper products, printing",26,Sector 3 - Manufacturing ( C)
27. Petroleum refinery products,Petroleum refinery products,27,Sector 3 - Manufacturing ( C)
28. Other chemical products,Other chemical products,28,Sector 3 - Manufacturing ( C)
