occupation_full,occupation_code,occupation_name,occupation_group
"O111 Chief Executives, General Managers and Legislators",O111,"Chief Executives, General Managers and Legislators",O1 MANAGERS
O121 Farmers and Farm Managers,O121,Farmers and Farm Managers,O1 MANAGERS
"O131 Advertising, Public Relations and Sales Managers",O131,"Advertising, Public Relations and Sales Managers",O1 MANAGERS
O132 Business Administration Managers,O132,Business Administration Managers,O1 MANAGERS
"O133 Construction, Distribution and Production Managers",O133,"Construction, Distribution and Production Managers",O1 MANAGERS
"O134 Education, Health and Welfare Services Managers",O134,"Education, Health and Welfare Services Managers",O1 MANAGERS
O135 ICT Managers,O135,ICT Managers,O1 MANAGERS
O139 Miscellaneous Specialist Managers,O139,Miscellaneous Specialist Managers,O1 MANAGERS
O141 Accommodation and Hospitality Managers,O141,Accommodation and Hospitality Managers,O1 MANAGERS
O142 Retail Managers,O142,Retail Managers,O1 MANAGERS
"O149 Miscellaneous Hospitality, Retail and Service Managers",O149,"Miscellaneous Hospitality, Retail and Service Managers",O1 MANAGERS
O211 Arts Professionals,O211,Arts Professionals,O1 MANAGERS
O212 Media Professionals,O212,Media Professionals,O1 MANAGERS
"O221 Accountants, Auditors and Company Secretaries",O221,"Accountants, Auditors and Company Secretaries",O1 MANAGERS
"O222 Financial Brokers and Dealers, and Investment Advisers",O222,"Financial Brokers and Dealers, and Investment Advisers",O1 MANAGERS
O223 Human Resource and Training Professionals,O223,Human Resource and Training Professionals,O1 MANAGERS
O224 Information and Organisation Professionals,O224,Information and Organisation Professionals,O1 MANAGERS
"O225 Sales, Marketing and Public Relations Professionals",O225,"Sales, Marketing and Public Relations Professionals",O1 MANAGERS
O231 Air and Marine Transport Professionals,O231,Air and Marine Transport Professionals,O1 MANAGERS
"O232 Architects, Designers, Planners and Surveyors",O232,"Architects, Designers, Planners and Surveyors",O1 MANAGERS
O233 Engineering Professionals,O233,Engineering Professionals,O1 MANAGERS
O234 Natural and Physical Science Professionals,O234,Natural and Physical Science Professionals,O1 MANAGERS
O241 School Teachers,O241,School Teachers,O1 MANAGERS
O242 Tertiary Education Teachers,O242,Tertiary Education Teachers,O1 MANAGERS
O249 Miscellaneous Education Professionals,O249,Miscellaneous Education Professionals,O1 MANAGERS
O251 Health Diagnostic and Promotion Professionals,O251,Health Diagnostic and Promotion Professionals,O1 MANAGERS
O252 Health Therapy Professionals,O252,Health Therapy Professionals,O1 MANAGERS
O253 Medical Practitioners,O253,Medical Practitioners,O1 MANAGERS
O254 Midwifery and Nursing Professionals,O254,Midwifery and Nursing Professionals,O1 MANAGERS
"O261 Business and Systems Analysts, and Programmers",O261,"Business and Systems Analysts, and Programmers",O1 MANAGERS
"O262 Database and Systems Administrators, and ICT Security Specialists",O262,"Database and Systems Administrators, and ICT Security Specialists",O1 MANAGERS
O263 ICT Network and Support Professionals,O263,ICT Network and Support Professionals,O1 MANAGERS
O271 Legal Professionals,O271,Legal Professionals,O1 MANAGERS
O272 Social and Welfare Professionals,O272,Social and Welfare Professionals,O1 MANAGERS
"O311 Agricultural, Medical and Science Technicians",O311,"Agricultural, Medical and Science Technicians",O1 MANAGERS
O312 Building and Engineering Technicians,O312,Building and Engineering Technicians,O1 MANAGERS
O313 ICT and Telecommunications Technicians,O313,ICT and Telecommunications Technicians,O1 MANAGERS
O321 Automotive Electricians and Mechanics,O321,Automotive Electricians and Mechanics,O1 MANAGERS
O322 Fabrication Engineering Trades Workers,O322,Fabrication Engineering Trades Workers,O2 PROFESSIONALS
O323 Mechanical Engineering Trades Workers,O323,Mechanical Engineering Trades Workers,O2 PROFESSIONALS
"O324 Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",O324,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",O2 PROFESSIONALS
"O331 Bricklayers, and Carpenters and Joiners",O331,"Bricklayers, and Carpenters and Joiners",O2 PROFESSIONALS
O332 Floor Finishers and Painting Trades Workers,O332,Floor Finishers and Painting Trades Workers,O2 PROFESSIONALS
"O333 Glaziers, Plasterers and Tilers",O333,"Glaziers, Plasterers and Tilers",O2 PROFESSIONALS
O334 Plumbers,O334,Plumbers,O2 PROFESSIONALS
O341 Electricians,O341,Electricians,O2 PROFESSIONALS
O342 Electronics and Telecommunications Trades Workers,O342,Electronics and Telecommunications Trades Workers,O2 PROFESSIONALS
O351 Food Trades Workers,O351,Food Trades Workers,O2 PROFESSIONALS
"O361 Animal Attendants and Trainers, and Shearers",O361,"Animal Attendants and Trainers, and Shearers",O2 PROFESSIONALS
O362 Horticultural Trades Workers,O362,Horticultural Trades Workers,O2 PROFESSIONALS
O391 Hairdressers,O391,Hairdressers,O2 PROFESSIONALS
O392 Printing Trades Workers,O392,Printing Trades Workers,O2 PROFESSIONALS
"O393 Textile, Clothing and Footwear Trades Workers",O393,"Textile, Clothing and Footwear Trades Workers",O2 PROFESSIONALS
O394 Wood Trades Workers,O394,Wood Trades Workers,O2 PROFESSIONALS
O399 Miscellaneous Technicians and Trades Workers,O399,Miscellaneous Technicians and Trades Workers,O2 PROFESSIONALS
O411 Health and Welfare Support Workers,O411,Health and Welfare Support Workers,O2 PROFESSIONALS
O421 Child Carers,O421,Child Carers,O2 PROFESSIONALS
O422 Education Aides,O422,Education Aides,O2 PROFESSIONALS
