occupation_full,occupation_code,occupation_name,occupation_group
"O111 Chief Executives, General Managers and Legislators",O111,"Chief Executives, General Managers and Legislators",O1 MANAGERS
"O111 Chief Executives, General Managers and Legislators",O111,"Chief Executives, General Managers and Legislators",O1 MANAGERS
"O111 Chief Executives, General Managers and Legislators",O111,"Chief Executives, General Managers and Legislators",O1 MANAGERS
O121 Farmers and Farm Managers,O121,Farmers and Farm Managers,O1 MANAGERS
O121 Farmers and Farm Managers,O121,Farmers and Farm Managers,O1 MANAGERS
O121 Farmers and Farm Managers,O121,Farmers and Farm Managers,O1 MANAGERS
O121 Farmers and Farm Managers,O121,Farmers and Farm Managers,O1 MANAGERS
"O131 Advertising, Public Relations and Sales Managers",O131,"Advertising, Public Relations and Sales Managers",O1 MANAGERS
O132 Business Administration Managers,O132,Business Administration Managers,O1 MANAGERS
O132 Business Administration Managers,O132,Business Administration Managers,O1 MANAGERS
O132 Business Administration Managers,O132,Business Administration Managers,O1 MANAGERS
O132 Business Administration Managers,O132,Business Administration Managers,O1 MANAGERS
O132 Business Administration Managers,O132,Business Administration Managers,O1 MANAGERS
"O133 Construction, Distribution and Production Managers",O133,"Construction, Distribution and Production Managers",O1 MANAGERS
"O133 Construction, Distribution and Production Managers",O133,"Construction, Distribution and Production Managers",O1 MANAGERS
"O133 Construction, Distribution and Production Managers",O133,"Construction, Distribution and Production Managers",O1 MANAGERS
"O133 Construction, Distribution and Production Managers",O133,"Construction, Distribution and Production Managers",O1 MANAGERS
"O133 Construction, Distribution and Production Managers",O133,"Construction, Distribution and Production Managers",O1 MANAGERS
"O133 Construction, Distribution and Production Managers",O133,"Construction, Distribution and Production Managers",O1 MANAGERS
"O134 Education, Health and Welfare Services Managers",O134,"Education, Health and Welfare Services Managers",O1 MANAGERS
"O134 Education, Health and Welfare Services Managers",O134,"Education, Health and Welfare Services Managers",O1 MANAGERS
"O134 Education, Health and Welfare Services Managers",O134,"Education, Health and Welfare Services Managers",O1 MANAGERS
"O134 Education, Health and Welfare Services Managers",O134,"Education, Health and Welfare Services Managers",O1 MANAGERS
O135 ICT Managers,O135,ICT Managers,O1 MANAGERS
O139 Miscellaneous Specialist Managers,O139,Miscellaneous Specialist Managers,O1 MANAGERS
O139 Miscellaneous Specialist Managers,O139,Miscellaneous Specialist Managers,O1 MANAGERS
O139 Miscellaneous Specialist Managers,O139,Miscellaneous Specialist Managers,O1 MANAGERS
O141 Accommodation and Hospitality Managers,O141,Accommodation and Hospitality Managers,O1 MANAGERS
O141 Accommodation and Hospitality Managers,O141,Accommodation and Hospitality Managers,O1 MANAGERS
O141 Accommodation and Hospitality Managers,O141,Accommodation and Hospitality Managers,O1 MANAGERS
O141 Accommodation and Hospitality Managers,O141,Accommodation and Hospitality Managers,O1 MANAGERS
O141 Accommodation and Hospitality Managers,O141,Accommodation and Hospitality Managers,O1 MANAGERS
