code,state_au,status,2_digit_code,sa4_name_2021,x1,x2,name_in_data,
1 NearACTNSW,NSW,National,2,CENTRAL COAST,1,Region near ACT,Region near ACT,
2 CentCstNSW,NSW,National,15,SYDNEY - BAULKHAM HILLS AND HAWKESBURY,2,Central Coast,Central Coast,
3 CentWestNSW,NSW,National,16,SYDNEY - BLACKTOWN,3,Central West,Central West,
4 CoffGrftnNSW,NSW,National,17,SYDNEY - CITY AND INNER SOUTH,4,COFFS HARBOUR - GRAFTON,Coffs harbour,
5 FarWOranaNSW,NSW,National,18,SYDNEY - EASTERN SUBURBS,5,FAR WEST AND ORANA,Far West and Orana,
6 HunterValNSW,NSW,National,19,SYDNEY - INNER SOUTH WEST,6,HUNTER VALLEY EXC NEWCASTLE,Hunter valley (ex Newcastle),
7 IllawarraNSW,NSW,National,20,SYDNEY - INNER WEST,7,ILLAWARRA,Illawarra,
8 MidNthCstNSW,NSW,National,21,SYDNEY - NORTH SYDNEY AND HORNSBY,8,MID NORTH COAST,Mid-north coast,
9 MurrayNSW,NSW,National,22,SYDNEY - NORTHERN BEACHES,9,MURRAY,Murray,
10 NewEnglNWNSW,NSW,National,23,SYDNEY - OUTER SOUTH WEST,10,NEW ENGLAND AND NORTH WEST,New England and North West,
11 NwcstlLkMNSW,NSW,National,24,SYDNEY - OUTER WEST AND BLUE MOUNTAINS,11,NEWCASTLE AND LAKE MACQUARIE,Newcastle and Lake Macquarie,
12 RichTweedNSW,NSW,National,25,SYDNEY - PARRAMATTA,12,RICHMOND - TWEED,Richmond-Tweed,
13 RiverinaNSW,NSW,National,26,SYDNEY - RYDE,13,RIVERINA,Riverina,
14 SthHiShlhNSW,NSW,National,27,SYDNEY - SOUTH WEST,14,SOUTHERN HIGHLANDS AND SHOALHAVEN,Southern Highlands,
15 BlhHilHwkNSW,NSW,National,28,SYDNEY - SUTHERLAND,15,SYDNEY - BAULKHAM HILLS AND HAWKESBURY,Sydney - Baulkham hills,
16 Blacktwn4NSW,NSW,National,1,CAPITAL REGION,16,SYDNEY - BLACKTOWN,Sydney - Blacktown,
17 CityInSthNSW,NSW,National,3,CENTRAL WEST,17,SYDNEY - CITY AND INNER SOUTH,Sydney - City and Inner South,
18 EastSubNtNSW,NSW,National,4,COFFS HARBOUR - GRAFTON,18,SYDNEY - EASTERN SUBURBS,Sydney - Eastern Suburbs,
19 InnrSWSydNSW,NSW,National,5,FAR WEST AND ORANA,19,SYDNEY - INNER SOUTH WEST,Sydney - Inner South West,
