var,state,year,value,industry_full,industry_code,industry_group
Sheep and Beef cattle,base,2017,109.23,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2018,110.8504,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2019,110.6472,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2020,115.3527,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2021,103.7903,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2022,104.6075,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2023,107.1133,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2024,110.2103,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2025,110.7036,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2026,113.9738,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2027,116.4795,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2028,119.0123,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2029,121.4924,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2030,123.929,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2031,126.3302,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2032,128.703,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2033,131.0524,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2034,133.3816,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2035,135.6944,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2036,137.9935,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2037,140.2819,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2038,142.5654,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2039,144.8459,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2040,147.1246,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2041,149.4026,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2042,151.681,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2043,153.9604,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2044,156.2416,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2045,158.5257,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2046,160.8134,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2047,163.1059,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2048,165.4046,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2049,167.7115,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2050,170.0279,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2017,26.4872,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2018,26.6347,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2019,26.339,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2020,28.1124,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2021,25.4013,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2022,25.3632,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2023,25.9132,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2024,26.6744,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2025,26.4713,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2026,27.2434,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2027,27.7723,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2028,28.3167,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2029,28.8485,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2030,29.3704,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2031,29.8838,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2032,30.3899,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2033,30.8898,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2034,31.3837,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2035,31.8725,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2036,32.3566,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
