var,state,year,value,industry_full,industry_code,industry_group
Sheep and Beef cattle,base,2017,20.4741,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2018,20.8529,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2019,20.8021,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2020,21.5706,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2021,19.2855,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2022,19.4364,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2023,19.9246,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2024,20.4757,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2025,20.5732,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2026,21.1716,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2027,21.6418,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2028,22.114,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2029,22.5759,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2030,23.0293,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2031,23.4758,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2032,23.9169,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2033,24.3534,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2034,24.7862,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2035,25.2158,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2036,25.6428,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
