var,state,year,value
Region near ACT,base,2017,0.0412
Region near ACT,base,2018,0.0414
Region near ACT,base,2019,0.0418
Region near ACT,base,2020,0.045
Region near ACT,base,2021,0.0418
Region near ACT,base,2022,0.042
Region near ACT,base,2023,0.0431
Region near ACT,base,2024,0.0448
Region near ACT,base,2025,0.0447
Region near ACT,base,2026,0.046
Region near ACT,base,2027,0.0466
Region near ACT,base,2028,0.0472
Region near ACT,base,2029,0.0478
Region near ACT,base,2030,0.0483
Region near ACT,base,2031,0.0488
Region near ACT,base,2032,0.0492
Region near ACT,base,2033,0.0495
Region near ACT,base,2034,0.0499
Region near ACT,base,2035,0.0501
Region near ACT,base,2036,0.0503
Region near ACT,base,2037,0.0505
Region near ACT,base,2038,0.0506
Region near ACT,base,2039,0.0507
Region near ACT,base,2040,0.0508
Region near ACT,base,2041,0.0508
Region near ACT,base,2042,0.0508
Region near ACT,base,2043,0.0507
Region near ACT,base,2044,0.0506
Region near ACT,base,2045,0.0505
Region near ACT,base,2046,0.0503
Region near ACT,base,2047,0.0501
Region near ACT,base,2048,0.0499
Region near ACT,base,2049,0.0496
Region near ACT,base,2050,0.0494
Central Coast,base,2017,0.5778
Central Coast,base,2018,0.5809
Central Coast,base,2019,0.5873
Central Coast,base,2020,0.6321
Central Coast,base,2021,0.5862
Central Coast,base,2022,0.5894
Central Coast,base,2023,0.6052
Central Coast,base,2024,0.6285
Central Coast,base,2025,0.6282
Central Coast,base,2026,0.6464
Central Coast,base,2027,0.6545
Central Coast,base,2028,0.6632
Central Coast,base,2029,0.6711
Central Coast,base,2030,0.6783
Central Coast,base,2031,0.6848
Central Coast,base,2032,0.6906
Central Coast,base,2033,0.6956
Central Coast,base,2034,0.7
Central Coast,base,2035,0.7037
Central Coast,base,2036,0.7067
Central Coast,base,2037,0.7092
Central Coast,base,2038,0.711
Central Coast,base,2039,0.7122
Central Coast,base,2040,0.7128
Central Coast,base,2041,0.713
Central Coast,base,2042,0.7126
Central Coast,base,2043,0.7117
Central Coast,base,2044,0.7103
Central Coast,base,2045,0.7085
Central Coast,base,2046,0.7062
Central Coast,base,2047,0.7035
Central Coast,base,2048,0.7004
Central Coast,base,2049,0.697
Central Coast,base,2050,0.6932
Central West,base,2017,3.5951
Central West,base,2018,3.6149
Central West,base,2019,3.6543
Central West,base,2020,3.9334
Central West,base,2021,3.6475
Central West,base,2022,3.6675
Central West,base,2023,3.7659
Central West,base,2024,3.9109
Central West,base,2025,3.9088
Central West,base,2026,4.0224
Central West,base,2027,4.0729
Central West,base,2028,4.127
Central West,base,2029,4.1761
Central West,base,2030,4.2208
Central West,base,2031,4.2611
Central West,base,2032,4.297
Central West,base,2033,4.3286
Central West,base,2034,4.3558
Central West,base,2035,4.3788
Central West,base,2036,4.3978
Central West,base,2037,4.4127
Central West,base,2038,4.4239
Central West,base,2039,4.4315
Central West,base,2040,4.4356
Central West,base,2041,4.4364
Central West,base,2042,4.4339
Central West,base,2043,4.4284
Central West,base,2044,4.4199
Central West,base,2045,4.4085
Central West,base,2046,4.3944
Central West,base,2047,4.3777
Central West,base,2048,4.3586
Central West,base,2049,4.337
Central West,base,2050,4.3133
Coffs harbour,base,2017,0.0257
Coffs harbour,base,2018,0.0259
Coffs harbour,base,2019,0.0261
Coffs harbour,base,2020,0.0281
Coffs harbour,base,2021,0.0261
Coffs harbour,base,2022,0.0262
Coffs harbour,base,2023,0.0269
Coffs harbour,base,2024,0.028
Coffs harbour,base,2025,0.028
Coffs harbour,base,2026,0.0288
Coffs harbour,base,2027,0.0291
Coffs harbour,base,2028,0.0295
Coffs harbour,base,2029,0.0299
Coffs harbour,base,2030,0.0302
Coffs harbour,base,2031,0.0305
Coffs harbour,base,2032,0.0307
Coffs harbour,base,2033,0.031
Coffs harbour,base,2034,0.0312
Coffs harbour,base,2035,0.0313
Coffs harbour,base,2036,0.0315
Coffs harbour,base,2037,0.0316
Coffs harbour,base,2038,0.0316
Coffs harbour,base,2039,0.0317
Coffs harbour,base,2040,0.0317
Coffs harbour,base,2041,0.0317
Coffs harbour,base,2042,0.0317
Coffs harbour,base,2043,0.0317
Coffs harbour,base,2044,0.0316
Coffs harbour,base,2045,0.0315
Coffs harbour,base,2046,0.0314
Coffs harbour,base,2047,0.0313
Coffs harbour,base,2048,0.0312
Coffs harbour,base,2049,0.031
Coffs harbour,base,2050,0.0309
Far West and Orana,base,2017,0.0857
Far West and Orana,base,2018,0.0862
Far West and Orana,base,2019,0.0871
Far West and Orana,base,2020,0.0938
Far West and Orana,base,2021,0.087
Far West and Orana,base,2022,0.0874
Far West and Orana,base,2023,0.0898
Far West and Orana,base,2024,0.0932
Far West and Orana,base,2025,0.0932
Far West and Orana,base,2026,0.0959
Far West and Orana,base,2027,0.0971
