var,state,year,value
NSW,base,2017,3826.0853
NSW,base,2018,3888.1395
NSW,base,2019,3997.3478
NSW,base,2020,4020.0718
NSW,base,2021,3969.7511
NSW,base,2022,4051.2803
NSW,base,2023,4080.626
NSW,base,2024,4170.0511
NSW,base,2025,4252.4632
NSW,base,2026,4342.212
NSW,base,2027,4418.1264
NSW,base,2028,4496.3658
NSW,base,2029,4574.8232
NSW,base,2030,4653.3889
NSW,base,2031,4731.999
NSW,base,2032,4810.618
NSW,base,2033,4889.2078
NSW,base,2034,4967.7273
NSW,base,2035,5046.1713
NSW,base,2036,5124.5422
NSW,base,2037,5202.8602
NSW,base,2038,5281.2223
NSW,base,2039,5359.6519
NSW,base,2040,5438.1644
NSW,base,2041,5516.7768
NSW,base,2042,5595.5131
NSW,base,2043,5674.3884
NSW,base,2044,5753.4245
NSW,base,2045,5832.6503
NSW,base,2046,5912.092
NSW,base,2047,5991.7831
NSW,base,2048,6071.7718
NSW,base,2049,6152.1087
NSW,base,2050,6232.8413
VIC,base,2017,3155.879
VIC,base,2018,3222.028
VIC,base,2019,3302.0353
VIC,base,2020,3284.2216
VIC,base,2021,3220.6016
VIC,base,2022,3285.1725
VIC,base,2023,3313.7524
VIC,base,2024,3388.4526
VIC,base,2025,3467.2315
VIC,base,2026,3540.8823
VIC,base,2027,3607.1321
VIC,base,2028,3674.8387
VIC,base,2029,3742.8569
VIC,base,2030,3811.0512
VIC,base,2031,3879.378
VIC,base,2032,3947.8113
VIC,base,2033,4016.3258
VIC,base,2034,4084.8942
VIC,base,2035,4153.5145
VIC,base,2036,4222.1914
VIC,base,2037,4290.9434
VIC,base,2038,4359.8573
VIC,base,2039,4428.952
VIC,base,2040,4498.2408
VIC,base,2041,4567.738
VIC,base,2042,4637.4638
VIC,base,2043,4707.4299
VIC,base,2044,4777.654
VIC,base,2045,4848.1604
VIC,base,2046,4918.97
VIC,base,2047,4990.1103
VIC,base,2048,5061.6219
VIC,base,2049,5133.5486
VIC,base,2050,5205.9316
QLD,base,2017,2366.6037
QLD,base,2018,2436.4971
QLD,base,2019,2480.6433
QLD,base,2020,2496.348
QLD,base,2021,2454.7988
QLD,base,2022,2475.4921
QLD,base,2023,2499.9044
QLD,base,2024,2545.058
QLD,base,2025,2579.4243
QLD,base,2026,2625.3309
QLD,base,2027,2667.736
QLD,base,2028,2710.8276
QLD,base,2029,2753.9975
QLD,base,2030,2797.107
QLD,base,2031,2840.1086
QLD,base,2032,2882.9679
QLD,base,2033,2925.6559
QLD,base,2034,2968.1427
QLD,base,2035,3010.4196
QLD,base,2036,3052.4826
QLD,base,2037,3094.3386
QLD,base,2038,3136.0403
QLD,base,2039,3177.5987
QLD,base,2040,3219.0194
QLD,base,2041,3260.3096
QLD,base,2042,3301.482
QLD,base,2043,3342.5442
QLD,base,2044,3383.5091
QLD,base,2045,3424.3953
QLD,base,2046,3465.2189
QLD,base,2047,3506.0014
QLD,base,2048,3546.7737
QLD,base,2049,3587.5686
QLD,base,2050,3628.4163
SA,base,2017,817.9574
SA,base,2018,845.8401
SA,base,2019,861.5785
SA,base,2020,856.773
SA,base,2021,843.1981
SA,base,2022,852.2899
SA,base,2023,858.9398
SA,base,2024,870.3008
SA,base,2025,879.9827
SA,base,2026,894.4568
SA,base,2027,909.0839
SA,base,2028,923.9038
SA,base,2029,938.8757
SA,base,2030,953.9282
SA,base,2031,969.0397
SA,base,2032,984.193
SA,base,2033,999.374
SA,base,2034,1014.57
SA,base,2035,1029.775
SA,base,2036,1044.9862
SA,base,2037,1060.2055
SA,base,2038,1075.4497
SA,base,2039,1090.7221
SA,base,2040,1106.0246
SA,base,2041,1121.3597
SA,base,2042,1136.7318
SA,base,2043,1152.1436
SA,base,2044,1167.5994
SA,base,2045,1183.105
SA,base,2046,1198.6659
SA,base,2047,1214.2887
SA,base,2048,1229.9831
SA,base,2049,1245.7594
SA,base,2050,1261.6274
WA,base,2017,1303.5642
WA,base,2018,1420.2676
WA,base,2019,1443.0548
WA,base,2020,1461.0005
WA,base,2021,1409.2073
WA,base,2022,1397.9875
WA,base,2023,1435.3388
WA,base,2024,1451.9843
WA,base,2025,1498.8917
WA,base,2026,1501.3968
WA,base,2027,1529.2761
WA,base,2028,1553.7807
WA,base,2029,1578.7871
WA,base,2030,1603.9019
WA,base,2031,1629.1465
WA,base,2032,1654.5155
WA,base,2033,1680.0009
WA,base,2034,1705.5936
WA,base,2035,1731.294
WA,base,2036,1757.1047
WA,base,2037,1783.0318
WA,base,2038,1809.1032
WA,base,2039,1835.3277
WA,base,2040,1861.7105
WA,base,2041,1888.2579
WA,base,2042,1914.9787
WA,base,2043,1941.8793
WA,base,2044,1968.9688
WA,base,2045,1996.2584
WA,base,2046,2023.7585
WA,base,2047,2051.4825
WA,base,2048,2079.4472
WA,base,2049,2107.6708
WA,base,2050,2136.1707
TAS,base,2017,241.008
TAS,base,2018,250.7814
TAS,base,2019,254.2397
TAS,base,2020,250.9003
TAS,base,2021,242.9557
TAS,base,2022,245.4214
TAS,base,2023,247.8475
TAS,base,2024,250.3618
TAS,base,2025,253.4408
TAS,base,2026,257.1711
TAS,base,2027,261.3738
TAS,base,2028,265.5328
TAS,base,2029,269.7194
TAS,base,2030,273.9115
TAS,base,2031,278.1082
TAS,base,2032,282.3076
TAS,base,2033,286.5082
TAS,base,2034,290.7086
TAS,base,2035,294.9089
TAS,base,2036,299.1095
TAS,base,2037,303.3134
TAS,base,2038,307.5274
TAS,base,2039,311.7534
TAS,base,2040,315.9927
TAS,base,2041,320.2466
TAS,base,2042,324.5173
TAS,base,2043,328.806
TAS,base,2044,333.1147
TAS,base,2045,337.4461
TAS,base,2046,341.8025
TAS,base,2047,346.1866
TAS,base,2048,350.6023
TAS,base,2049,355.0535
TAS,base,2050,359.5438
NT,base,2017,138.8124
NT,base,2018,142.7143
NT,base,2019,151.6554
NT,base,2020,168.3279
NT,base,2021,186.0033
NT,base,2022,182.4314
NT,base,2023,181.259
NT,base,2024,180.6379
NT,base,2025,178.7177
NT,base,2026,179.8547
NT,base,2027,181.2558
NT,base,2028,182.8038
NT,base,2029,184.4656
NT,base,2030,186.198
NT,base,2031,187.9432
NT,base,2032,189.6563
NT,base,2033,191.3589
NT,base,2034,193.0782
NT,base,2035,194.8179
NT,base,2036,196.5771
NT,base,2037,198.3549
NT,base,2038,200.1526
NT,base,2039,201.9701
NT,base,2040,203.8076
NT,base,2041,205.6652
NT,base,2042,207.5432
NT,base,2043,209.4418
NT,base,2044,211.3616
NT,base,2045,213.3034
NT,base,2046,215.2677
NT,base,2047,217.2555
NT,base,2048,219.2678
NT,base,2049,221.3059
NT,base,2050,223.3709
ACT,base,2017,220.7356
ACT,base,2018,231.1924
ACT,base,2019,241.1008
ACT,base,2020,250.883
ACT,base,2021,268.7629
ACT,base,2022,258.5145
ACT,base,2023,257.7195
ACT,base,2024,258.6416
ACT,base,2025,251.3437
ACT,base,2026,255.4604
ACT,base,2027,259.5687
ACT,base,2028,263.6856
ACT,base,2029,267.7989
ACT,base,2030,271.8957
ACT,base,2031,275.9754
ACT,base,2032,280.0386
ACT,base,2033,284.0854
ACT,base,2034,288.1153
ACT,base,2035,292.1294
ACT,base,2036,296.1291
ACT,base,2037,300.1158
ACT,base,2038,304.0942
ACT,base,2039,308.0658
ACT,base,2040,312.0315
ACT,base,2041,315.992
ACT,base,2042,319.9483
ACT,base,2043,323.9008
ACT,base,2044,327.8501
ACT,base,2045,331.7973
ACT,base,2046,335.7431
ACT,base,2047,339.6887
ACT,base,2048,343.6359
ACT,base,2049,347.5867
ACT,base,2050,351.543
NSW,zero,2020,4020.0803
NSW,zero,2021,3961.1338
NSW,zero,2022,4048.612
NSW,zero,2023,4081.1852
NSW,zero,2024,4173.228
NSW,zero,2025,4258.5052
NSW,zero,2026,4348.3228
NSW,zero,2027,4424.8328
NSW,zero,2028,4503.2687
NSW,zero,2029,4581.8169
NSW,zero,2030,4660.5105
NSW,zero,2031,4739.3305
NSW,zero,2032,4818.2737
NSW,zero,2033,4897.3135
NSW,zero,2034,4976.4163
NSW,zero,2035,5055.5593
NSW,zero,2036,5134.7473
NSW,zero,2037,5213.9894
NSW,zero,2038,5293.3785
NSW,zero,2039,5372.9308
NSW,zero,2040,5454.3427
NSW,zero,2041,5533.3428
NSW,zero,2042,5613.7763
NSW,zero,2043,5695.1756
NSW,zero,2044,5777.32
NSW,zero,2045,5860.1103
NSW,zero,2046,5943.5047
NSW,zero,2047,6027.5582
NSW,zero,2048,6112.33
NSW,zero,2049,6197.908
NSW,zero,2050,6284.3829
VIC,zero,2020,3284.2295
VIC,zero,2021,3215.3099
VIC,zero,2022,3285.8568
VIC,zero,2023,3318.4059
VIC,zero,2024,3397.5943
VIC,zero,2025,3480.8683
VIC,zero,2026,3556.3146
