var,state,year,value,industry_full,industry_code,industry_group
Sheep and Beef cattle,base,2017,9.5084,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2018,9.558,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2019,9.2901,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2020,9.8529,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2021,8.6439,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2022,8.6443,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2023,8.8866,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2024,9.1845,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2025,9.0851,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2026,9.3603,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2027,9.5131,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2028,9.6722,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2029,9.8239,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2030,9.9699,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2031,10.1111,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
