var,state,year,value
,base,2020,103.7903
,base,2021,104.6075
,base,2022,107.1133
,base,2023,110.2103
,base,2024,110.7036
,base,2025,113.9738
,base,2026,116.4795
,base,2027,119.0123
,base,2028,121.4924
,base,2029,123.929
,base,2030,126.3302
,base,2031,128.703
,base,2032,131.0524
,base,2033,133.3816
,base,2034,135.6944
,base,2035,137.9935
,base,2036,140.2819
,base,2037,142.5654
,base,2038,144.8459
,base,2039,147.1246
,base,2040,149.4026
,base,2041,151.681
,base,2042,153.9604
,base,2043,156.2416
,base,2044,158.5257
,base,2045,160.8134
,base,2046,163.1059
,base,2047,165.4046
,base,2048,167.7115
,base,2049,170.0279
,base,2020,25.4013
,base,2021,25.3632
,base,2022,25.9132
,base,2023,26.6744
,base,2024,26.4713
,base,2025,27.2434
,base,2026,27.7723
,base,2027,28.3167
,base,2028,28.8485
,base,2029,29.3704
,base,2030,29.8838
,base,2031,30.3899
,base,2032,30.8898
,base,2033,31.3837
,base,2034,31.8725
,base,2035,32.3566
,base,2036,32.8365
,base,2037,33.3135
,base,2038,33.7879
,base,2039,34.2599
,base,2040,34.7297
,base,2041,35.1976
,base,2042,35.6635
,base,2043,36.1277
,base,2044,36.5903
,base,2045,37.0515
,base,2046,37.5114
,base,2047,37.9705
,base,2048,38.429
,base,2049,38.8872
,base,2020,29.9024
,base,2021,30.5799
,base,2022,30.909
,base,2023,31.5596
,base,2024,32.1656
,base,2025,32.9158
,base,2026,33.5722
,base,2027,34.2155
,base,2028,34.8432
,base,2029,35.458
,base,2030,36.0631
,base,2031,36.6612
,base,2032,37.254
,base,2033,37.8427
,base,2034,38.4285
,base,2035,39.0123
,base,2036,39.5951
,base,2037,40.1785
,base,2038,40.763
,base,2039,41.3489
,base,2040,41.9366
,base,2041,42.5263
,base,2042,43.1183
,base,2043,43.7128
,base,2044,44.3101
,base,2045,44.9106
,base,2046,45.5145
,base,2047,46.1225
,base,2048,46.735
,base,2049,47.3526
,base,2020,80.7096
,base,2021,82.2435
,base,2022,81.8706
,base,2023,83.1431
,base,2024,85.105
,base,2025,86.6319
,base,2026,88.2211
,base,2027,89.758
,base,2028,91.2725
,base,2029,92.7642
,base,2030,94.2384
,base,2031,95.699
,base,2032,97.1485
,base,2033,98.589
,base,2034,100.0221
,base,2035,101.4498
,base,2036,102.8738
,base,2037,104.2978
,base,2038,105.7227
,base,2039,107.1494
,base,2040,108.5785
,base,2041,110.0108
,base,2042,111.4468
,base,2043,112.88720000000001
,base,2044,114.3328
,base,2045,115.7844
,base,2046,117.243
,base,2047,118.7098
,base,2048,120.1864
,base,2049,121.674
,base,2020,2.5556
,base,2021,2.6231
,base,2022,2.5547
,base,2023,2.5711
,base,2024,2.6542
,base,2025,2.6941
,base,2026,2.745
,base,2027,2.7936
,base,2028,2.8419
,base,2029,2.8897
,base,2030,2.9371
,base,2031,2.9844
,base,2032,3.0314
,base,2033,3.0784
,base,2034,3.1252
,base,2035,3.1721
,base,2036,3.219
,base,2037,3.266
,base,2038,3.3132
,base,2039,3.3606
,base,2040,3.4083
,base,2041,3.4561
,base,2042,3.5043
,base,2043,3.5527
,base,2044,3.6014
,base,2045,3.6505
,base,2046,3.6999
,base,2047,3.7498
,base,2048,3.8001
,base,2049,3.851
,base,2020,0.616
,base,2021,0.6158
,base,2022,0.6261
,base,2023,0.6403
,base,2024,0.6445
,base,2025,0.6585
,base,2026,0.6705
,base,2027,0.6826
,base,2028,0.6945
,base,2029,0.7062
,base,2030,0.7179
,base,2031,0.7293
,base,2032,0.7407
,base,2033,0.7519
,base,2034,0.763
,base,2035,0.774
,base,2036,0.7848
,base,2037,0.7956
,base,2038,0.8063
,base,2039,0.8168
,base,2040,0.8274
,base,2041,0.8378
,base,2042,0.8481
,base,2043,0.8584
,base,2044,0.8687
,base,2045,0.8788
,base,2046,0.8889
,base,2047,0.899
,base,2048,0.909
,base,2049,0.919
,base,2020,31.5587
,base,2021,32.832
,base,2022,33.3277
,base,2023,34.2266
,base,2024,35.2588
,base,2025,36.0975
,base,2026,36.8067
,base,2027,37.5152
,base,2028,38.2142
,base,2029,38.9046
,base,2030,39.5888
,base,2031,40.2687
,base,2032,40.9456
,base,2033,41.6201
,base,2034,42.2931
,base,2035,42.9655
,base,2036,43.638
,base,2037,44.3127
,base,2038,44.9898
,base,2039,45.6698
,base,2040,46.3528
,base,2041,47.0391
,base,2042,47.7291
,base,2043,48.4229
,base,2044,49.1209
,base,2045,49.8235
,base,2046,50.5312
,base,2047,51.2445
,base,2048,51.9642
,base,2049,52.6909
,base,2020,6.4333
,base,2021,6.5668
,base,2022,6.6769
,base,2023,6.8457
,base,2024,6.9698
,base,2025,7.1513
,base,2026,7.2937
,base,2027,7.4407
,base,2028,7.5871
,base,2029,7.7329
,base,2030,7.8781
,base,2031,8.0229
,base,2032,8.1674
,base,2033,8.3115
,base,2034,8.4552
,base,2035,8.5988
,base,2036,8.7423
,base,2037,8.8859
,base,2038,9.0297
,base,2039,9.1738
,base,2040,9.3182
,base,2041,9.463
,base,2042,9.6081
,base,2043,9.7536
,base,2044,9.8997
,base,2045,10.0462
,base,2046,10.1934
,base,2047,10.3413
,base,2048,10.49
,base,2049,10.6396
,base,2020,5.6736
,base,2021,5.5488
,base,2022,5.6238
,base,2023,5.9012
,base,2024,6.0996
,base,2025,6.2751
,base,2026,6.4601
,base,2027,6.6399
,base,2028,6.8188
,base,2029,6.9969
,base,2030,7.1747
,base,2031,7.3524
,base,2032,7.5302
,base,2033,7.7081
,base,2034,7.8863
,base,2035,8.0648
,base,2036,8.2437
,base,2037,8.4233
,base,2038,8.6038
,base,2039,8.7851
,base,2040,8.9674
,base,2041,9.1508
,base,2042,9.3352
,base,2043,9.5209
,base,2044,9.7079
,base,2045,9.8963
,base,2046,10.0862
,base,2047,10.2779
,base,2048,10.4714
,base,2049,10.667
,base,2020,23.5713
,base,2021,23.6439
,base,2022,23.846
,base,2023,24.247
,base,2024,24.4928
,base,2025,24.9467
,base,2026,25.4024
,base,2027,25.865
,base,2028,26.3322
,base,2029,26.802
,base,2030,27.2731
,base,2031,27.7449
,base,2032,28.2166
,base,2033,28.6876
,base,2034,29.1576
,base,2035,29.6265
,base,2036,30.0941
,base,2037,30.5607
,base,2038,31.0265
,base,2039,31.4913
,base,2040,31.9553
,base,2041,32.4185
,base,2042,32.881
,base,2043,33.3429
,base,2044,33.8044
,base,2045,34.2654
,base,2046,34.7262
,base,2047,35.1869
,base,2048,35.6479
,base,2049,36.1093
,base,2020,74.3266
,base,2021,74.7434
,base,2022,76.7583
,base,2023,79.6833
,base,2024,79.5594
,base,2025,81.7971
,base,2026,82.762
,base,2027,83.8007
,base,2028,84.7447
,base,2029,85.6056
,base,2030,86.3832
,base,2031,87.0789
,base,2032,87.6933
,base,2033,88.2272
,base,2034,88.6823
,base,2035,89.0602
,base,2036,89.363
,base,2037,89.5947
,base,2038,89.7574
,base,2039,89.8531
,base,2040,89.8841
,base,2041,89.8525
,base,2042,89.7601
,base,2043,89.6092
,base,2044,89.4018
,base,2045,89.1402
,base,2046,88.8263
,base,2047,88.4627
,base,2048,88.0516
,base,2049,87.5954
,base,2020,9.6843
,base,2021,9.5979
,base,2022,9.3846
,base,2023,9.2153
,base,2024,9.229
,base,2025,9.0858
,base,2026,9.0075
,base,2027,8.9192
,base,2028,8.8308
,base,2029,8.7413
,base,2030,8.6511
,base,2031,8.5602
,base,2032,8.4688
,base,2033,8.3771
,base,2034,8.285
,base,2035,8.1928
,base,2036,8.1005
,base,2037,8.0083
,base,2038,7.9162
,base,2039,7.8242
,base,2040,7.7323
,base,2041,7.6402
,base,2042,7.548
,base,2043,7.4555
,base,2044,7.3623
,base,2045,7.2684
,base,2046,7.1733
,base,2047,7.0768
,base,2048,6.9784
,base,2049,6.8777
,base,2020,9.5159
,base,2021,9.6663
,base,2022,9.6511
,base,2023,9.728
,base,2024,10.0984
,base,2025,10.1876
,base,2026,10.2967
,base,2027,10.4015
,base,2028,10.5061
,base,2029,10.6104
,base,2030,10.7147
,base,2031,10.8192
,base,2032,10.9241
,base,2033,11.0296
,base,2034,11.1357
,base,2035,11.2426
,base,2036,11.3504
,base,2037,11.4594
,base,2038,11.5696
,base,2039,11.6812
,base,2040,11.7943
,base,2041,11.9088
,base,2042,12.0249
,base,2043,12.1426
,base,2044,12.2621
,base,2045,12.3834
,base,2046,12.5066
,base,2047,12.6319
,base,2048,12.7594
,base,2049,12.8892
,base,2020,29.8681
,base,2021,29.5853
,base,2022,29.762
,base,2023,29.6727
,base,2024,30.6545
,base,2025,30.7754
,base,2026,31.099
,base,2027,31.4148
,base,2028,31.748
,base,2029,32.0945
,base,2030,32.4535
,base,2031,32.8241
,base,2032,33.2062
,base,2033,33.5999
,base,2034,34.0052
,base,2035,34.4223
,base,2036,34.8512
,base,2037,35.2924
,base,2038,35.7459
,base,2039,36.2121
,base,2040,36.691
,base,2041,37.1832
,base,2042,37.6887
,base,2043,38.208
,base,2044,38.7413
,base,2045,39.2891
,base,2046,39.8518
,base,2047,40.4297
,base,2048,41.0234
,base,2049,41.6333
,base,2020,59.6304
,base,2021,55.7666
,base,2022,58.1812
,base,2023,56.8653
