var,state,year,value
,base,2020,120.3148
,base,2021,121.948
,base,2022,123.1906
,base,2023,125.7515
,base,2024,128.3927
,base,2025,130.6572
,base,2026,132.9896
,base,2027,135.3262
,base,2028,137.6769
,base,2029,140.0318
,base,2030,142.3892
,base,2031,144.7475
,base,2032,147.1059
,base,2033,149.4638
,base,2034,151.821
,base,2035,154.1776
,base,2036,156.5342
,base,2037,158.8939
,base,2038,161.2574
,base,2039,163.6251
,base,2040,165.9974
,base,2041,168.3753
,base,2042,170.759
,base,2043,173.1492
,base,2044,175.547
,base,2045,177.9531
,base,2046,180.3686
,base,2047,182.795
,base,2048,185.2339
,base,2049,187.6868
,base,2020,164.16
,base,2021,166.3516
,base,2022,168.911
,base,2023,173.0954
,base,2024,175.0382
,base,2025,179.4885
,base,2026,183.1321
,base,2027,186.7805
,base,2028,190.3621
,base,2029,193.8861
,base,2030,197.3642
,base,2031,200.8057
,base,2032,204.2172
,base,2033,207.6031
,base,2034,210.9681
,base,2035,214.3162
,base,2036,217.6514
,base,2037,220.9821
,base,2038,224.311
,base,2039,227.6394
,base,2040,230.9691
,base,2041,234.3015
,base,2042,237.6376
,base,2043,240.9787
,base,2044,244.3264
,base,2045,247.682
,base,2046,251.0473
,base,2047,254.4248
,base,2048,257.8173
,base,2049,261.2271
,base,2020,140.5692
,base,2021,143.6337
,base,2022,145.293
,base,2023,148.7095
,base,2024,152.6587
,base,2025,155.6711
,base,2026,158.5396
,base,2027,161.444
,base,2028,164.3633
,base,2029,167.289
,base,2030,170.2194
,base,2031,173.1532
,base,2032,176.0895
,base,2033,179.027
,base,2034,181.9658
,base,2035,184.906
,base,2036,187.8484
,base,2037,190.797
,base,2038,193.7527
,base,2039,196.716
,base,2040,199.6877
,base,2041,202.6687
,base,2042,205.6595
,base,2043,208.661
,base,2044,211.6743
,base,2045,214.7005
,base,2046,217.7408
,base,2047,220.7971
,base,2048,223.8715
,base,2049,226.9657
,base,2020,168.2404
,base,2021,169.8403
,base,2022,171.1974
,base,2023,174.2895
,base,2024,176.7895
,base,2025,179.8006
,base,2026,182.8688
,base,2027,185.9523
,base,2028,189.0566
,base,2029,192.1688
,base,2030,195.2858
,base,2031,198.4052
,base,2032,201.5261
,base,2033,204.6475
,base,2034,207.7692
,base,2035,210.8912
,base,2036,214.0141
,base,2037,217.1419
,base,2038,220.2752
,base,2039,223.4146
,base,2040,226.5606
,base,2041,229.7142
,base,2042,232.8756
,base,2043,236.0459
,base,2044,239.2261
,base,2045,242.4171
,base,2046,245.6204
,base,2047,248.8378
,base,2048,252.0714
,base,2049,255.3231
,base,2020,252.1542
,base,2021,252.2524
,base,2022,254.3395
,base,2023,262.3074
,base,2024,270.0635
,base,2025,275.0569
,base,2026,280.1127
,base,2027,285.1721
,base,2028,290.2416
,base,2029,295.2945
,base,2030,300.3247
,base,2031,305.3274
,base,2032,310.3011
,base,2033,315.2441
,base,2034,320.1565
,base,2035,325.0389
,base,2036,329.893
,base,2037,334.7273
,base,2038,339.5441
,base,2039,344.345
,base,2040,349.1316
,base,2041,353.9064
,base,2042,358.671
,base,2043,363.4274
,base,2044,368.1785
,base,2045,372.9268
,base,2046,377.6751
,base,2047,382.4275
,base,2048,387.1884
,base,2049,391.9614
,base,2020,85.3733
,base,2021,85.7195
,base,2022,85.9229
,base,2023,86.6208
,base,2024,86.811
,base,2025,87.9043
,base,2026,89.0634
,base,2027,90.2268
,base,2028,91.3978
,base,2029,92.571
,base,2030,93.745
,base,2031,94.9185
,base,2032,96.0907
,base,2033,97.2604
,base,2034,98.4275
,base,2035,99.5917
,base,2036,100.7535
,base,2037,101.9137
,base,2038,103.0727
,base,2039,104.2305
,base,2040,105.38720000000001
,base,2041,106.5431
,base,2042,107.6983
,base,2043,108.8532
,base,2044,110.008
,base,2045,111.1631
,base,2046,112.319
,base,2047,113.4765
,base,2048,114.6362
,base,2049,115.799
,base,2020,61.7078
,base,2021,62.8543
,base,2022,63.489
,base,2023,65.1019
,base,2024,66.6755
,base,2025,68.0383
,base,2026,69.3425
,base,2027,70.661
,base,2028,71.9872
,base,2029,73.3186
,base,2030,74.6548
,base,2031,75.9957
,base,2032,77.3409
,base,2033,78.6901
,base,2034,80.0433
,base,2035,81.4005
,base,2036,82.7621
,base,2037,84.1297
,base,2038,85.5037
,base,2039,86.8843
,base,2040,88.2717
,base,2041,89.6665
,base,2042,91.0687
,base,2043,92.4788
,base,2044,93.8973
