var,state,year,value,occupation_full,occupation_code,occupation_group
"Chief Executives, General Managers and Legislators",base,2017,115.9362,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2017,115.9362,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2017,115.9362,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2018,119.2596,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2018,119.2596,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2018,119.2596,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2019,121.8988,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2019,121.8988,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2019,121.8988,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2020,122.4202,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2020,122.4202,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2020,122.4202,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2021,120.3148,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2021,120.3148,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2021,120.3148,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2022,121.948,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2022,121.948,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2022,121.948,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2023,123.1906,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2023,123.1906,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2023,123.1906,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2024,125.7515,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2024,125.7515,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2024,125.7515,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2025,128.3927,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2025,128.3927,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2025,128.3927,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2026,130.6572,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2026,130.6572,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2026,130.6572,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2027,132.9896,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2027,132.9896,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2027,132.9896,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2028,135.3262,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2028,135.3262,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2028,135.3262,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2029,137.6769,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2029,137.6769,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2029,137.6769,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2030,140.0318,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2030,140.0318,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2030,140.0318,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2031,142.3892,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2031,142.3892,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2031,142.3892,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,144.7475,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,144.7475,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,144.7475,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,147.1059,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,147.1059,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,147.1059,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,149.4638,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,149.4638,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,149.4638,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,151.821,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,151.821,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,151.821,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,154.1776,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,154.1776,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,154.1776,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,156.5342,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,156.5342,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,156.5342,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,158.8939,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,158.8939,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,158.8939,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,161.2574,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,161.2574,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,161.2574,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,163.6251,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,163.6251,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,163.6251,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2041,165.9974,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2041,165.9974,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2041,165.9974,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2042,168.3753,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2042,168.3753,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2042,168.3753,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2043,170.759,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2043,170.759,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2043,170.759,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2044,173.1492,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2044,173.1492,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2044,173.1492,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
