var,state,year,value,occupation_full,occupation_code,occupation_group
"Chief Executives, General Managers and Legislators",base,2017,12.6116,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2017,12.6116,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2017,12.6116,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2018,13.7318,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2018,13.7318,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2018,13.7318,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2019,13.8949,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2019,13.8949,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2019,13.8949,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2020,14.1535,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2020,14.1535,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2020,14.1535,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2021,13.5077,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2021,13.5077,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2021,13.5077,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2022,13.3737,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2022,13.3737,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2022,13.3737,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2023,13.7471,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2023,13.7471,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2023,13.7471,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2024,13.9301,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2024,13.9301,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2024,13.9301,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2025,14.4002,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2025,14.4002,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2025,14.4002,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2026,14.4005,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2026,14.4005,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2026,14.4005,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2027,14.6721,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2027,14.6721,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2027,14.6721,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2028,14.9068,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2028,14.9068,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2028,14.9068,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2029,15.1461,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2029,15.1461,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2029,15.1461,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2030,15.3857,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2030,15.3857,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2030,15.3857,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2031,15.6258,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2031,15.6258,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2031,15.6258,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,15.8664,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,15.8664,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,15.8664,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,16.1073,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,16.1073,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,16.1073,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,16.3485,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,16.3485,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,16.3485,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,16.59,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,16.59,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,16.59,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,16.832,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,16.832,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,16.832,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,17.0743,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,17.0743,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,17.0743,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,17.3175,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,17.3175,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,17.3175,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,17.5616,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,17.5616,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,17.5616,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,17.8067,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,17.8067,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,17.8067,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
