state,year,value,var,industry_group
base,2031,126.3302,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2032,128.703,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2033,131.0524,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2034,133.3816,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2035,135.6944,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2036,137.9935,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2037,140.2819,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2038,142.5654,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2039,144.8459,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2040,147.1246,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2041,149.4026,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2042,151.681,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2043,153.9604,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2044,156.2416,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2045,158.5257,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2046,160.8134,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2047,163.1059,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2048,165.4046,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2049,167.7115,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2050,170.0279,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2051,172.3557,Sheep and Beef cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2031,29.8838,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2032,30.3899,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2033,30.8898,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2034,31.3837,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2035,31.8725,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2036,32.3566,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2037,32.8365,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2038,33.3135,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2039,33.7879,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2040,34.2599,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2041,34.7297,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2042,35.1976,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2043,35.6635,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2044,36.1277,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2045,36.5903,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2046,37.0515,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2047,37.5114,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2048,37.9705,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2049,38.429,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2050,38.8872,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2051,39.3455,Grains production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2031,36.0631,Dairy cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2032,36.6612,Dairy cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2033,37.254,Dairy cattle,"Sector 1 - Agriculture, forestry and fishing (A)"
