var_code,var,year,sa4_code_2016,sa4_name_2016,state,value
1 NearACTNSW,Region near ACT,2031,101,Capital Region,base,0.0488
1 NearACTNSW,Region near ACT,2031,101,Capital Region,zero,0.0411
1 NearACTNSW,Region near ACT,2032,101,Capital Region,base,0.0492
1 NearACTNSW,Region near ACT,2032,101,Capital Region,zero,0.0408
1 NearACTNSW,Region near ACT,2033,101,Capital Region,base,0.0495
1 NearACTNSW,Region near ACT,2033,101,Capital Region,zero,0.0405
1 NearACTNSW,Region near ACT,2034,101,Capital Region,base,0.0499
1 NearACTNSW,Region near ACT,2034,101,Capital Region,zero,0.0401
1 NearACTNSW,Region near ACT,2035,101,Capital Region,base,0.0501
1 NearACTNSW,Region near ACT,2035,101,Capital Region,zero,0.0397
1 NearACTNSW,Region near ACT,2036,101,Capital Region,base,0.0503
1 NearACTNSW,Region near ACT,2036,101,Capital Region,zero,0.0392
1 NearACTNSW,Region near ACT,2037,101,Capital Region,base,0.0505
1 NearACTNSW,Region near ACT,2037,101,Capital Region,zero,0.0387
1 NearACTNSW,Region near ACT,2038,101,Capital Region,base,0.0506
1 NearACTNSW,Region near ACT,2038,101,Capital Region,zero,0.0382
1 NearACTNSW,Region near ACT,2039,101,Capital Region,base,0.0507
1 NearACTNSW,Region near ACT,2039,101,Capital Region,zero,0.0375
1 NearACTNSW,Region near ACT,2040,101,Capital Region,base,0.0508
1 NearACTNSW,Region near ACT,2040,101,Capital Region,zero,0.0369
1 NearACTNSW,Region near ACT,2041,101,Capital Region,base,0.0508
1 NearACTNSW,Region near ACT,2041,101,Capital Region,zero,0.0362
1 NearACTNSW,Region near ACT,2042,101,Capital Region,base,0.0508
1 NearACTNSW,Region near ACT,2042,101,Capital Region,zero,0.0355
1 NearACTNSW,Region near ACT,2043,101,Capital Region,base,0.0507
1 NearACTNSW,Region near ACT,2043,101,Capital Region,zero,0.0348
1 NearACTNSW,Region near ACT,2044,101,Capital Region,base,0.0506
1 NearACTNSW,Region near ACT,2044,101,Capital Region,zero,0.034
1 NearACTNSW,Region near ACT,2045,101,Capital Region,base,0.0505
1 NearACTNSW,Region near ACT,2045,101,Capital Region,zero,0.0332
1 NearACTNSW,Region near ACT,2046,101,Capital Region,base,0.0503
1 NearACTNSW,Region near ACT,2046,101,Capital Region,zero,0.0324
1 NearACTNSW,Region near ACT,2047,101,Capital Region,base,0.0501
1 NearACTNSW,Region near ACT,2047,101,Capital Region,zero,0.0315
1 NearACTNSW,Region near ACT,2048,101,Capital Region,base,0.0499
1 NearACTNSW,Region near ACT,2048,101,Capital Region,zero,0.0307
1 NearACTNSW,Region near ACT,2049,101,Capital Region,base,0.0496
1 NearACTNSW,Region near ACT,2049,101,Capital Region,zero,NA
1 NearACTNSW,Region near ACT,2050,101,Capital Region,base,0.0494
1 NearACTNSW,Region near ACT,2050,101,Capital Region,zero,NA
1 NearACTNSW,Region near ACT,2051,101,Capital Region,base,0.0491
1 NearACTNSW,Region near ACT,2051,101,Capital Region,zero,NA
2 CentCstNSW,Central Coast,2031,102,Central Coast,base,0.6848
2 CentCstNSW,Central Coast,2031,102,Central Coast,zero,0.5768
2 CentCstNSW,Central Coast,2032,102,Central Coast,base,0.6906
2 CentCstNSW,Central Coast,2032,102,Central Coast,zero,0.5731
2 CentCstNSW,Central Coast,2033,102,Central Coast,base,0.6956
2 CentCstNSW,Central Coast,2033,102,Central Coast,zero,0.5686
2 CentCstNSW,Central Coast,2034,102,Central Coast,base,0.7
2 CentCstNSW,Central Coast,2034,102,Central Coast,zero,0.5634
2 CentCstNSW,Central Coast,2035,102,Central Coast,base,0.7037
