var_code,var,year,sa4_code_2016,sa4_name_2016,state,value
1 NearACTNSW,Region near ACT,2031,101,Capital Region,base,131.4732
1 NearACTNSW,Region near ACT,2031,101,Capital Region,zero,133.3462
1 NearACTNSW,Region near ACT,2032,101,Capital Region,base,133.5731
1 NearACTNSW,Region near ACT,2032,101,Capital Region,zero,135.6516
1 NearACTNSW,Region near ACT,2033,101,Capital Region,base,135.6669
1 NearACTNSW,Region near ACT,2033,101,Capital Region,zero,137.9434
1 NearACTNSW,Region near ACT,2034,101,Capital Region,base,137.7541
1 NearACTNSW,Region near ACT,2034,101,Capital Region,zero,140.2234
1 NearACTNSW,Region near ACT,2035,101,Capital Region,base,139.8347
1 NearACTNSW,Region near ACT,2035,101,Capital Region,zero,142.4937
1 NearACTNSW,Region near ACT,2036,101,Capital Region,base,141.9091
1 NearACTNSW,Region near ACT,2036,101,Capital Region,zero,144.7561
1 NearACTNSW,Region near ACT,2037,101,Capital Region,base,143.9779
1 NearACTNSW,Region near ACT,2037,101,Capital Region,zero,147.0129
1 NearACTNSW,Region near ACT,2038,101,Capital Region,base,146.0438
1 NearACTNSW,Region near ACT,2038,101,Capital Region,zero,149.2678
1 NearACTNSW,Region near ACT,2039,101,Capital Region,base,148.1073
1 NearACTNSW,Region near ACT,2039,101,Capital Region,zero,151.5239
1 NearACTNSW,Region near ACT,2040,101,Capital Region,base,150.1689
1 NearACTNSW,Region near ACT,2040,101,Capital Region,zero,153.8809
1 NearACTNSW,Region near ACT,2041,101,Capital Region,base,152.229
1 NearACTNSW,Region near ACT,2041,101,Capital Region,zero,156.0877
1 NearACTNSW,Region near ACT,2042,101,Capital Region,base,154.2881
1 NearACTNSW,Region near ACT,2042,101,Capital Region,zero,158.3146
1 NearACTNSW,Region near ACT,2043,101,Capital Region,base,156.3466
1 NearACTNSW,Region near ACT,2043,101,Capital Region,zero,160.5518
1 NearACTNSW,Region near ACT,2044,101,Capital Region,base,158.405
1 NearACTNSW,Region near ACT,2044,101,Capital Region,zero,162.7891
1 NearACTNSW,Region near ACT,2045,101,Capital Region,base,160.4639
1 NearACTNSW,Region near ACT,2045,101,Capital Region,zero,165.0239
1 NearACTNSW,Region near ACT,2046,101,Capital Region,base,162.5239
1 NearACTNSW,Region near ACT,2046,101,Capital Region,zero,167.2547
1 NearACTNSW,Region near ACT,2047,101,Capital Region,base,164.5857
1 NearACTNSW,Region near ACT,2047,101,Capital Region,zero,169.477
1 NearACTNSW,Region near ACT,2048,101,Capital Region,base,166.6506
1 NearACTNSW,Region near ACT,2048,101,Capital Region,zero,171.6886
1 NearACTNSW,Region near ACT,2049,101,Capital Region,base,168.7196
1 NearACTNSW,Region near ACT,2049,101,Capital Region,zero,173.8876
1 NearACTNSW,Region near ACT,2050,101,Capital Region,base,170.794
1 NearACTNSW,Region near ACT,2050,101,Capital Region,zero,176.0717
1 NearACTNSW,Region near ACT,2051,101,Capital Region,base,172.8751
1 NearACTNSW,Region near ACT,2051,101,Capital Region,zero,178.2444
2 CentCstNSW,Central Coast,2031,102,Central Coast,base,175.9301
2 CentCstNSW,Central Coast,2031,102,Central Coast,zero,173.1685
2 CentCstNSW,Central Coast,2032,102,Central Coast,base,178.5758
2 CentCstNSW,Central Coast,2032,102,Central Coast,zero,175.5749
2 CentCstNSW,Central Coast,2033,102,Central Coast,base,181.2191
2 CentCstNSW,Central Coast,2033,102,Central Coast,zero,178.0143
2 CentCstNSW,Central Coast,2034,102,Central Coast,base,183.8572
2 CentCstNSW,Central Coast,2034,102,Central Coast,zero,180.478
2 CentCstNSW,Central Coast,2035,102,Central Coast,base,186.489
2 CentCstNSW,Central Coast,2035,102,Central Coast,zero,182.9594
2 CentCstNSW,Central Coast,2036,102,Central Coast,base,189.1136
2 CentCstNSW,Central Coast,2036,102,Central Coast,zero,185.4533
2 CentCstNSW,Central Coast,2037,102,Central Coast,base,191.7314
2 CentCstNSW,Central Coast,2037,102,Central Coast,zero,187.9559
2 CentCstNSW,Central Coast,2038,102,Central Coast,base,194.3451
2 CentCstNSW,Central Coast,2038,102,Central Coast,zero,190.4664
2 CentCstNSW,Central Coast,2039,102,Central Coast,base,196.9552
2 CentCstNSW,Central Coast,2039,102,Central Coast,zero,192.9794
2 CentCstNSW,Central Coast,2040,102,Central Coast,base,199.562
2 CentCstNSW,Central Coast,2040,102,Central Coast,zero,195.3217
2 CentCstNSW,Central Coast,2041,102,Central Coast,base,202.1659
2 CentCstNSW,Central Coast,2041,102,Central Coast,zero,197.841
2 CentCstNSW,Central Coast,2042,102,Central Coast,base,204.7676
2 CentCstNSW,Central Coast,2042,102,Central Coast,zero,200.3685
2 CentCstNSW,Central Coast,2043,102,Central Coast,base,207.3674
2 CentCstNSW,Central Coast,2043,102,Central Coast,zero,202.8897
2 CentCstNSW,Central Coast,2044,102,Central Coast,base,209.9659
2 CentCstNSW,Central Coast,2044,102,Central Coast,zero,205.394
2 CentCstNSW,Central Coast,2045,102,Central Coast,base,212.5642
2 CentCstNSW,Central Coast,2045,102,Central Coast,zero,207.8776
2 CentCstNSW,Central Coast,2046,102,Central Coast,base,215.1629
2 CentCstNSW,Central Coast,2046,102,Central Coast,zero,210.3394
2 CentCstNSW,Central Coast,2047,102,Central Coast,base,217.7632
2 CentCstNSW,Central Coast,2047,102,Central Coast,zero,212.7747
2 CentCstNSW,Central Coast,2048,102,Central Coast,base,220.3667
2 CentCstNSW,Central Coast,2048,102,Central Coast,zero,215.1815
2 CentCstNSW,Central Coast,2049,102,Central Coast,base,222.9749
2 CentCstNSW,Central Coast,2049,102,Central Coast,zero,217.5587
2 CentCstNSW,Central Coast,2050,102,Central Coast,base,225.5894
2 CentCstNSW,Central Coast,2050,102,Central Coast,zero,219.904
2 CentCstNSW,Central Coast,2051,102,Central Coast,base,228.212
2 CentCstNSW,Central Coast,2051,102,Central Coast,zero,222.2312
3 CentWestNSW,Central West,2031,103,Central West,base,125.9102
3 CentWestNSW,Central West,2031,103,Central West,zero,124.0378
3 CentWestNSW,Central West,2032,103,Central West,base,128.0089
3 CentWestNSW,Central West,2032,103,Central West,zero,126.1198
3 CentWestNSW,Central West,2033,103,Central West,base,130.0863
3 CentWestNSW,Central West,2033,103,Central West,zero,128.2111
3 CentWestNSW,Central West,2034,103,Central West,base,132.1426
3 CentWestNSW,Central West,2034,103,Central West,zero,130.311
3 CentWestNSW,Central West,2035,103,Central West,base,134.1791
3 CentWestNSW,Central West,2035,103,Central West,zero,132.4188
3 CentWestNSW,Central West,2036,103,Central West,base,136.1967
3 CentWestNSW,Central West,2036,103,Central West,zero,134.5345
3 CentWestNSW,Central West,2037,103,Central West,base,138.1971
3 CentWestNSW,Central West,2037,103,Central West,zero,136.6585
3 CentWestNSW,Central West,2038,103,Central West,base,140.184
3 CentWestNSW,Central West,2038,103,Central West,zero,138.794
3 CentWestNSW,Central West,2039,103,Central West,base,142.1589
3 CentWestNSW,Central West,2039,103,Central West,zero,140.9398
3 CentWestNSW,Central West,2040,103,Central West,base,144.1228
3 CentWestNSW,Central West,2040,103,Central West,zero,143.004
3 CentWestNSW,Central West,2041,103,Central West,base,146.0766
3 CentWestNSW,Central West,2041,103,Central West,zero,145.1385
3 CentWestNSW,Central West,2042,103,Central West,base,148.0215
3 CentWestNSW,Central West,2042,103,Central West,zero,147.3219
3 CentWestNSW,Central West,2043,103,Central West,base,149.9585
3 CentWestNSW,Central West,2043,103,Central West,zero,149.5375
3 CentWestNSW,Central West,2044,103,Central West,base,151.8884
3 CentWestNSW,Central West,2044,103,Central West,zero,151.7729
3 CentWestNSW,Central West,2045,103,Central West,base,153.8124
3 CentWestNSW,Central West,2045,103,Central West,zero,154.0261
3 CentWestNSW,Central West,2046,103,Central West,base,155.7316
3 CentWestNSW,Central West,2046,103,Central West,zero,156.295
3 CentWestNSW,Central West,2047,103,Central West,base,157.6471
3 CentWestNSW,Central West,2047,103,Central West,zero,158.5772
3 CentWestNSW,Central West,2048,103,Central West,base,159.5607
3 CentWestNSW,Central West,2048,103,Central West,zero,160.8715
3 CentWestNSW,Central West,2049,103,Central West,base,161.4741
3 CentWestNSW,Central West,2049,103,Central West,zero,163.177
3 CentWestNSW,Central West,2050,103,Central West,base,163.3887
3 CentWestNSW,Central West,2050,103,Central West,zero,165.4921
3 CentWestNSW,Central West,2051,103,Central West,base,165.3065
3 CentWestNSW,Central West,2051,103,Central West,zero,167.8276
4 CoffGrftnNSW,Coffs harbour,2031,104,Coffs Harbour - Grafton,base,65.2872
4 CoffGrftnNSW,Coffs harbour,2031,104,Coffs Harbour - Grafton,zero,68.0093
4 CoffGrftnNSW,Coffs harbour,2032,104,Coffs Harbour - Grafton,base,66.4294
4 CoffGrftnNSW,Coffs harbour,2032,104,Coffs Harbour - Grafton,zero,69.4936
4 CoffGrftnNSW,Coffs harbour,2033,104,Coffs Harbour - Grafton,base,67.5737
4 CoffGrftnNSW,Coffs harbour,2033,104,Coffs Harbour - Grafton,zero,70.9923
4 CoffGrftnNSW,Coffs harbour,2034,104,Coffs Harbour - Grafton,base,68.7193
4 CoffGrftnNSW,Coffs harbour,2034,104,Coffs Harbour - Grafton,zero,72.5062
4 CoffGrftnNSW,Coffs harbour,2035,104,Coffs Harbour - Grafton,base,69.8659
4 CoffGrftnNSW,Coffs harbour,2035,104,Coffs Harbour - Grafton,zero,74.036
4 CoffGrftnNSW,Coffs harbour,2036,104,Coffs Harbour - Grafton,base,71.0134
4 CoffGrftnNSW,Coffs harbour,2036,104,Coffs Harbour - Grafton,zero,75.5827
4 CoffGrftnNSW,Coffs harbour,2037,104,Coffs Harbour - Grafton,base,72.162
4 CoffGrftnNSW,Coffs harbour,2037,104,Coffs Harbour - Grafton,zero,77.1478
4 CoffGrftnNSW,Coffs harbour,2038,104,Coffs Harbour - Grafton,base,73.3127
4 CoffGrftnNSW,Coffs harbour,2038,104,Coffs Harbour - Grafton,zero,78.7334
4 CoffGrftnNSW,Coffs harbour,2039,104,Coffs Harbour - Grafton,base,74.466
4 CoffGrftnNSW,Coffs harbour,2039,104,Coffs Harbour - Grafton,zero,80.3411
4 CoffGrftnNSW,Coffs harbour,2040,104,Coffs Harbour - Grafton,base,75.622
4 CoffGrftnNSW,Coffs harbour,2040,104,Coffs Harbour - Grafton,zero,82.0164
4 CoffGrftnNSW,Coffs harbour,2041,104,Coffs Harbour - Grafton,base,76.7809
4 CoffGrftnNSW,Coffs harbour,2041,104,Coffs Harbour - Grafton,zero,83.6647
4 CoffGrftnNSW,Coffs harbour,2042,104,Coffs Harbour - Grafton,base,77.9431
4 CoffGrftnNSW,Coffs harbour,2042,104,Coffs Harbour - Grafton,zero,85.3537
4 CoffGrftnNSW,Coffs harbour,2043,104,Coffs Harbour - Grafton,base,79.1087
4 CoffGrftnNSW,Coffs harbour,2043,104,Coffs Harbour - Grafton,zero,87.0796
4 CoffGrftnNSW,Coffs harbour,2044,104,Coffs Harbour - Grafton,base,80.278
4 CoffGrftnNSW,Coffs harbour,2044,104,Coffs Harbour - Grafton,zero,88.8368
